programming_language,repositories_count,average_size_of_repo
C,293231,20226459.931944035
Jupyter Notebook,17332,3889179.9768635961
Assembly,47681,2734225.9363477915
C++,277871,1857407.4901626948
PHP,339426,1489817.3727616414
Visual Basic,10464,1172696.8393539779
JavaScript,1099966,1127059.5834781122
C#,133110,954583.18112086144
Java,369673,831323.75339558313
Go,91867,751869.06864270847
TypeScript,48027,716408.474545564
Erlang,14909,593779.24924542208
Emacs Lisp,16755,548903.44368845166
Roff,12132,470388.97337619663
HTML,777433,453047.07289500372
Pascal,10137,360601.73266252241
Objective-C,166961,349467.45167434111
Python,550905,343711.07882664894
Scala,34562,322304.32758521149
Perl,101533,294586.10059783538
Rust,15907,278552.61036021606
Groff,25635,264149.16578896047
Lua,34431,262190.30559670116
Objective-C++,17946,245715.42432854266
Prolog,11119,191486.7676949364
CSS,807826,187000.89174029281
TeX,31554,182938.04300564135
Matlab,17524,171901.21952750516
Swift,42605,155020.67938035465
Smarty,17346,154485.14008993394
Haskell,30061,120981.0603439675
XSLT,32226,120350.38977844044
Scilab,13050,116805.90697317962
R,29356,103466.25694917559
Groovy,27229,102230.03679900093
Ruby,374276,100970.40216310983
Makefile,251366,92704.965405027266
GLSL,13904,81844.024669160062
PowerShell,33176,75995.885911501842
Lex,12506,73159.868703022817
Yacc,13695,70644.072946330591
VimL,18977,64365.645044000914
M4,15776,60355.237512677304
Clojure,25896,57153.934777571769
CoffeeScript,68589,55308.140284885732
CMake,56754,53499.09021390562
Shell,640886,48444.899197360734
Protocol Buffer,11668,46493.967432293182
ASP,32781,41753.799273969984
Puppet,14936,34046.2895018748
Arduino,20424,30912.880385820554
Awk,20625,14534.531103030315
Batchfile,97868,14140.649640331883
QMake,17506,12859.956700559775
Dockerfile,27176,12351.197232852537
ApacheConf,68500,5156.9438540145511